feature,f_binary,mi_binary,rf_binary,agg_stageA,f_type6,mi_type6,rf_type6,agg_stageB,selected,in_stageA,in_stageB
aa_E,266.30477742749446,0.11734121790493135,0.009895009152429898,0.2078480981484593,2121.463206127949,0.633041856214752,0.03375500147542683,0.9464276066606773,True,True,True
aromatic,3198.287603433036,0.1435948011191881,0.023932238570692623,0.47206928284866106,1614.6056614981262,0.6501945854608009,0.03424547253373945,0.8508349977071791,True,True,True
cysteine_frac,515.801172366553,0.12193108729841162,0.01788853460422697,0.28604262314326917,546.7033716227503,0.644717473969725,0.03763719676269872,0.796701527359687,True,True,True
dp_TL,693.2505253392713,0.10934178961765761,0.0039951844815502785,0.1850552295854705,2233.4308071486826,0.43357279003178917,0.023173495792081923,0.6340884071037087,True,True,True
aa_Y,4023.33616901385,0.14355087466167782,0.03660575881445793,0.6171343305255481,832.5986106099165,0.5823265563060667,0.024754291273762285,0.6269330430139877,True,True,True
charged,297.0213134325845,0.12114113819830452,0.008284460397509361,0.1903277550176589,899.7883684315145,0.6299149804153101,0.020448309396052588,0.6218525947073021,True,True,True
length,3669.6315025739186,0.26285406360386365,0.10245504303915985,0.965623009972059,278.3311525801871,0.6163718405215703,0.02871074778274064,0.6092439580918964,True,True,True
aa_V,55.20935859128857,0.09221618590822933,0.007907779848051652,0.1580946451580732,1076.5445992038233,0.5645329682675553,0.020111424301153973,0.6012508742954242,True,True,True
glycine_frac,2902.1678865221015,0.14060329682772488,0.022922604993645533,0.4291458656514459,807.1028988805572,0.5785688241652287,0.020504397490549577,0.5575539925218871,True,True,True
dp_DF,2544.8675738538705,0.07361380864050004,0.004567690650669496,0.27243356659262363,2360.249812222767,0.3282835782750837,0.012139720324951465,0.5355474677376459,True,True,True
dp_AP,373.26492953852204,0.07642076028832245,0.0013662957350149185,0.09112976695548487,1482.8445182257146,0.39186723628829334,0.01081783570615465,0.5271625422260532,True,False,True
aa_F,655.3090342677522,0.09277142982994935,0.008249790105401666,0.18289914810912633,846.1864895434189,0.5451604856667482,0.019966526943792397,0.5263774612267342,True,True,True
aa_R,2639.8069069350754,0.16926325252915708,0.046392225694726175,0.5692355690396941,652.7733772281324,0.5974388960817703,0.01706747648052957,0.5255399573713144,True,True,True
aa_N,700.6361678581,0.09765025788570836,0.01747326742592849,0.2939391768724576,596.0234382929169,0.5453555708135829,0.017750680742399928,0.5205120227946352,True,True,True
aa_W,587.5216195546883,0.09142530947375183,0.00988329829865101,0.1957033699952621,538.4164886566655,0.5238271738193196,0.0168541531256947,0.5201556202285194,True,True,True
aa_I,164.9083866529767,0.09083501260057791,0.006685311763575985,0.15071176830390226,715.3737971275744,0.5326500478397844,0.01826325344760212,0.5188676695465227,True,False,True
dp_GG,1762.8378065590398,0.1177170013429305,0.02110967909160945,0.320021292571457,765.6504674582669,0.45508000002578264,0.01689705456611617,0.4849175376542403,True,True,True
dp_GT,1898.2668654561605,0.08812294149478084,0.00578014674360036,0.21686627500808175,2024.653140325629,0.4017541534990414,0.010602899428328205,0.46906237184990196,True,True,True
dp_EE,305.81588286760973,0.08876860202755998,0.003933912735041694,0.1314241621474997,2215.7081274419943,0.23095276381394658,0.01396881645843117,0.4655015589658639,True,False,True
aa_Q,1908.82785805603,0.1305969911749929,0.024874706256145573,0.38276435665870484,464.25746526895796,0.5177520964859741,0.016541925133678293,0.45643698775128233,True,True,True
aa_L,4760.676792330867,0.15593746119483454,0.04281425888094042,0.6768912017951391,454.85576363676495,0.5075898936426788,0.01560675107470578,0.4560744130708803,True,True,True
aa_A,1353.4444612971972,0.10608595977565649,0.0096893278615928,0.260425507691314,580.4839391746054,0.5324133946067424,0.009923359931889066,0.425391897782384,True,True,True
dp_SF,1462.8560354503784,0.06094809752504671,0.003169010640335315,0.15654080956435384,1621.9587673403416,0.28609286783565935,0.014749177888493161,0.42088904277809697,True,True,True
dp_TY,2607.822327486659,0.06080395330275845,0.0022182539290119224,0.20705143825278366,1930.3092733617548,0.29148656527419314,0.009153263311003659,0.4114421387438568,True,True,True
dp_EA,4.240775979332713,0.07053789325246251,0.002659616136487947,0.08783236191305345,1144.645728096676,0.21810728506539778,0.01265006783656951,0.3874638908904836,True,False,True
hydrophobic,419.6983650242113,0.13303061176975617,0.0172061149307409,0.2923893135211453,280.7080219114933,0.5155979336881527,0.012144334776605412,0.38672969710479327,True,True,True
dp_LE,9.229886381207947,0.12772177918062466,0.004981939057295154,0.1973784847263091,1049.163488821605,0.4162150019068882,0.006827103737555066,0.37202466563930103,True,True,True
aa_K,108.59657686962419,0.09722691776674952,0.00882282820664519,0.17542036494564045,222.39188985153714,0.5283754585056686,0.008279080878745317,0.3636536027142944,True,True,True
dp_NS,753.751889492801,0.07758926776524788,0.0019014682445376674,0.133387922580228,1537.9764898131593,0.28686833483890695,0.009424305011312813,0.3619725954570418,True,False,True
aa_T,778.0187930197268,0.1055950039774578,0.008514287096796927,0.18754755690701289,588.9061720244058,0.5151306140559027,0.008975632140500596,0.3597041438579029,True,True,True
aa_D,1465.9821569761295,0.11131896285505083,0.010705923353656817,0.26398150329674674,403.7034875607376,0.5384304190750253,0.0075636212623849276,0.3548896907544063,True,True,True
dp_GD,1965.1179405245796,0.07937033996863341,0.006629984055399123,0.23024034371571395,535.5826204762193,0.3604673942608878,0.010176591019901489,0.3530122778295255,True,True,True
dp_SC,1961.091414888919,0.053637571363168046,0.0016235595065856108,0.15360457278512485,1688.988026698269,0.25854256525664177,0.006372997378122444,0.35044668269453283,True,False,True
dp_YG,2660.063227995255,0.07750049105202672,0.008001379218607914,0.28626079627227063,1059.7708012789183,0.36419581629776365,0.006636028552256029,0.34764461685486897,True,True,True
polar,472.2528778672135,0.10211381106962536,0.008892760048348908,0.18311925222806197,400.63080928212855,0.5069730512192434,0.008294665295407759,0.3469588332097591,True,True,True
proline_frac,1745.2394183653348,0.10355602851189971,0.012429697893106828,0.2614995474681849,306.44601936414256,0.477167330771342,0.009306371169731424,0.3390487387202837,True,True,True
dp_SD,528.1739945043186,0.07991640967228753,0.001800628514137687,0.12133111493775914,1398.1579798668765,0.2900262604859303,0.007192166340935679,0.3240495425706213,True,False,True
aa_M,378.31102520676603,0.0782802639532143,0.00616280848494516,0.13651072259259875,449.7841247966652,0.49431259766523006,0.00631595875220027,0.3237915600302186,True,False,True
dp_YV,2345.3586952099236,0.05834826940876625,0.0017259504305942612,0.1876817113163609,1844.620846094206,0.2712212307524773,0.004295509402868298,0.3187154273001691,True,True,True
dp_NG,2167.45211302208,0.07673279600577243,0.003907220773468508,0.2206154331836974,1292.2453492316167,0.3002045412852219,0.005684606006685916,0.31037207049086474,True,True,True
dp_AT,2835.073727246186,0.09763581981186564,0.00990959883234932,0.3070284943313356,1048.218116781192,0.3417364805360772,0.0058598837887134875,0.3047959142541699,True,True,True
dp_VE,193.08519408070822,0.05587305775030482,0.0023357078178912597,0.07920328831606173,1262.4918498640527,0.19146969694026295,0.007340577566628901,0.30363601532476814,True,False,True
